id,title,artist_title,classification_titles
30,The Battle around the Shield and Lance,Giovanni Jacopo Caraglio,engraving;print;prints and drawing
132684,"Virgin and Child with St. Anne, St. John the Baptist, Zeno, and Antony Abbot",Jacob Frey,etching;print;prints and drawing;paper
106673,The Massacre of the Innocents,Marco Dente da Ravenna,engraving;print;prints and drawing
95603,The Prophet Jeremiah,Giorgio Ghisi,engraving;print;prints and drawing
109896,Landscape with a Luteplayer,Giovanni Francesco Grimaldi,etching;print;prints and drawing
108636,The Persian Sibyl,Giorgio Ghisi,engraving;print;prints and drawing
80019,The Delphic Sibyl,Giorgio Ghisi,engraving;print;prints and drawing
135442,The Eritrean Sibyl,Giorgio Ghisi,engraving;print;prints and drawing
135441,The Prophet Joel,Giorgio Ghisi,engraving;print;prints and drawing
69718,The Judgment of Paris,Giorgio Ghisi,engraving;print;prints and drawing
264799,The Farnese Hercules,Giorgio Ghisi,print;paper;engraving;prints and drawing
259636,The Banquet of Scipio,Antonio Fantuzzi,prints and drawing;paper;print;etching
221702,The Fall of Troy and the Escape of Aeneas,Giorgio Ghisi,engraving;paper;print;prints and drawing
265940,Anchora Inparo,Girolamo Fagiuoli,prints and drawing;paper;engraving;print
263712,The Temptation of Saint Anthony,Agostino Carracci,prints and drawing;engraving;paper;print
93627,"Title Page, from Vedute",Canaletto,etching;print;prints and drawing
159754,"The Tower of Malghera, from Vedute",Canaletto,etching;print;prints and drawing
159753,Ale Porto del Dolo,Canaletto,etching;print;prints and drawing
159740,"View of a Town on a River Bank, from Vedute",Canaletto,etching;print;prints and drawing
159758,"S. Giustina in prà della Vale, from Vedute",Canaletto,etching;print;prints and drawing
159757,"Al Dolo, from Vedute",Canaletto,etching;print;prints and drawing
159756,"Le Porte Del Dolo, from Vedute",Canaletto,etching;print;prints and drawing
159755,"Mestre, from Vedute",Canaletto,etching;print;prints and drawing
159759,"Prà della Valle, from Vedute",Canaletto,etching;print;prints and drawing
111997,Cloelia Crossing the Tiber,Giulio Bonasone,engraving;print;prints and drawing
106670,The Milkmaid,Nicolò Boldrini,woodcut;print;prints and drawing
23550,Saint Jerome in the Wilderness,Nicolò Boldrini,print;prints and drawing
21272,Descent from the Ark,Giulio Bonasone,engraving;print;prints and drawing
103420,San Giorgio Maggiore,Giovanni Battista Brustolon,etching;print;prints and drawing
45447,The Annunciation,Federico Barocci,etching;print;prints and drawing
10173,Saint Jerome in the Desert,Cherubino Alberti,engraving;print;prints and drawing
